,Word,New POS,Frequency
890,vet,Noun,2
159,gun,Noun,2
112,case,Noun,2
109,second,Adjective,2
450,serious,Adjective,2
108,protecting,Verb,2
233,rip,Verb,2
874,military,Adjective,2
1082,wait,Noun,2
1083,until,Other,2
857,horribly,Adverb,2
860,certain,Adjective,2
849,giving,Verb,2
848,enterprise,Noun,2
846,charge,Noun,2
365,meeting,Noun,2
228,ninth,Adjective,2
863,amount,Noun,2
363,respond,Verb,2
842,talking,Verb,2
841,presidency,Noun,2
392,moved,Verb,2
361,here,Adverb,2
394,deported,Verb,2
396,want,Adjective,2
359,rest,Noun,2
399,league,Noun,2
868,disgrace,Noun,2
869,trump,Noun,2
870,contribute,Verb,2
873,including,Verb,2
1165,premium,Noun,2
39,statement,Noun,2
902,donor,Noun,2
330,youth,Noun,2
344,first,Adjective,2
489,missile,Noun,2
500,middle,Noun,2
790,only,Adjective,2
498,cant,Adjective,2
342,stop,Verb,2
172,city,Noun,2
1113,economic,Adjective,2
470,yeah,Noun,2
1107,4,Other,2
899,george,Noun,2
898,soros,Noun,2
471,doubt,Verb,2
247,honestly,Adverb,2
477,he,Noun,2
501,east,Noun,2
1046,standpoint,Noun,2
794,who,Verb,2
783,paid,Verb,2
458,warhead,Noun,2
1052,smarter,Adjective,2
326,across,Other,2
480,course,Noun,2
462,everything,Noun,2
903,same,Adjective,2
491,russian,Noun,2
478,yes,Other,2
345,act,Noun,2
780,one,Noun,2
1138,theyll,Noun,1
1132,contribution,Noun,1
1145,ronald,Noun,1
938,lookexcuse,Verb,1
934,seeing,Verb,1
936,november,Noun,1
1144,disagree,Verb,1
871,percent100,Noun,1
939,chrisif,Noun,1
1131,gavethey,Verb,1
940,roll,Noun,1
937,8th,Other,1
1151,cutting,Verb,1
911,apartment,Noun,1
945,pew,Noun,1
949,peopletell,Noun,1
948,shouldnt,Noun,1
1129,businesspeople,Noun,1
859,youve,Verb,1
1149,doe,Verb,1
909,change,Verb,1
1130,negotiate,Verb,1
861,treat,Verb,1
1202,inner,Adjective,1
946,placesmillions,Noun,1
862,gesture,Noun,1
866,hate,Verb,1
944,methis,Noun,1
943,isnt,Noun,1
906,special,Adjective,1
1208,lifetime,Noun,1
872,charity,Noun,1
865,little,Adjective,1
1148,him,Other,1
942,votemillions,Noun,1
905,senator,Noun,1
1154,repeal,Noun,1
1143,could,Noun,1
1146,reagan,Noun,1
933,unfortunately,Adverb,1
926,pileon,Noun,1
1135,havent,Verb,1
1204,walking,Noun,1
897,buffett,Noun,1
889,disabled,Adjective,1
916,watching,Verb,1
922,seenwhat,Adverb,1
896,themi,Noun,1
891,quickly,Adverb,1
1141,heardweve,Adverb,1
892,entitled,Verb,1
921,ive,Verb,1
1140,expand,Verb,1
1205,store,Noun,1
1153,growth,Noun,1
920,looking,Verb,1
919,frankly,Verb,1
918,youre,Adverb,1
893,passed,Verb,1
1152,rate,Noun,1
895,donorsjust,Noun,1
894,depreciation,Noun,1
887,housesthe,Adjective,1
907,interest,Noun,1
901,most,Adjective,1
1136,decade,Noun,1
